Lines of Code in the pypy subtree
date, lines of code, lines of testcode
2003-02-19, 1436, 0
2003-02-20, 1603, 114
2003-02-21, 2637, 401
2003-02-22, 2921, 121
2003-02-23, 3674, 969
2003-02-24, 3674, 969
2003-02-25, 3808, 998
2003-02-26, 3808, 998
2003-02-27, 3808, 998
2003-02-28, 3847, 1054
2003-03-01, 3854, 1056
2003-03-03, 3865, 1114
2003-03-04, 3865, 1116
2003-03-18, 3865, 1116
2003-04-06, 3865, 1116
2003-04-11, 3865, 1116
2003-04-18, 3892, 1221
2003-04-19, 3943, 1273
2003-05-22, 3943, 1273
2003-05-25, 3943, 1273
2003-05-26, 4239, 1414
2003-05-27, 4714, 1668
2003-05-28, 5603, 1847
2003-05-29, 5735, 1883
2003-05-30, 6515, 2380
2003-05-31, 6927, 2393
2003-06-01, 7144, 2396
2003-06-02, 7152, 2400
2003-06-05, 7195, 2400
2003-06-06, 7212, 2400
2003-06-07, 7215, 2400
2003-06-08, 7228, 2390
2003-06-09, 7230, 2390
2003-06-13, 7356, 2387
2003-06-14, 7436, 2387
2003-06-15, 7436, 2387
2003-06-16, 7558, 2411
2003-06-17, 7568, 2411
2003-06-18, 7708, 2465
2003-06-19, 7796, 2460
2003-06-20, 7794, 2467
2003-06-21, 7823, 2479
2003-06-22, 9536, 2608
2003-06-23, 10196, 3153
2003-06-24, 10675, 3428
2003-06-28, 11165, 3571
2003-06-29, 11173, 3579
2003-06-30, 11173, 3579
2003-07-01, 11336, 3597
2003-07-02, 11344, 3597
2003-07-03, 11344, 3597
2003-07-04, 11344, 3597
2003-07-06, 11354, 3597
2003-07-07, 11354, 3597
2003-07-08, 11544, 3621
2003-07-10, 11544, 3621
2003-07-12, 11544, 3621
2003-07-13, 11544, 3621
2003-07-14, 11617, 3625
2003-07-15, 11617, 3625
2003-07-16, 11617, 3625
2003-07-17, 11617, 3625
2003-07-18, 11617, 3625
2003-07-19, 11617, 3625
2003-07-24, 11617, 3625
2003-07-26, 11617, 3625
2003-07-27, 11617, 3625
2003-07-28, 11617, 3625
2003-07-29, 11617, 3625
2003-07-30, 11617, 3625
2003-07-31, 11617, 3625
2003-08-01, 11617, 3625
2003-08-02, 11617, 3625
2003-08-06, 11617, 3625
2003-08-07, 11617, 3625
2003-08-09, 11617, 3625
2003-08-10, 11617, 3625
2003-08-17, 11617, 3625
2003-08-24, 11617, 3625
2003-08-25, 11617, 3625
2003-09-02, 11617, 3625
2003-09-07, 11617, 3625
2003-09-08, 11617, 3625
2003-09-09, 11617, 3625
2003-09-10, 11617, 3625
2003-09-12, 11617, 3625
2003-09-13, 11617, 3625
2003-09-14, 11617, 3625
2003-09-15, 11617, 3625
2003-09-16, 11617, 3625
2003-09-17, 11617, 3625
2003-09-18, 11954, 3536
2003-09-19, 11976, 3541
2003-09-20, 11976, 3541
2003-09-21, 11976, 3541
2003-09-22, 11976, 3541
2003-09-23, 12024, 3671
2003-09-25, 12024, 3671
2003-09-26, 12024, 3671
2003-09-28, 12024, 3671
2003-09-29, 12024, 3677
2003-09-30, 12393, 3760
2003-10-01, 12900, 3965
2003-10-02, 13241, 4310
2003-10-03, 13241, 4310
2003-10-04, 13310, 4356
2003-10-05, 12443, 4223
2003-10-06, 12415, 4223
2003-10-07, 12415, 4223
2003-10-08, 12417, 4223
2003-10-09, 12417, 4223
2003-10-10, 12875, 4431
2003-10-11, 12884, 4452
2003-10-12, 12970, 4492
2003-10-13, 12984, 4492
2003-10-14, 12984, 4492
2003-10-15, 12974, 4492
2003-10-16, 13051, 4492
2003-10-17, 13094, 4521
2003-10-18, 13131, 4561
2003-10-20, 13131, 4561
2003-10-21, 13131, 4561
2003-10-23, 13147, 4570
2003-10-24, 13268, 4413
2003-10-25, 13276, 4416
2003-10-26, 13372, 4409
2003-10-27, 13641, 4403
2003-10-28, 13699, 4409
2003-10-29, 13850, 4419
2003-10-30, 13848, 4431
2003-10-31, 13854, 4431
2003-11-03, 13704, 4437
2003-11-04, 13704, 4437
2003-11-05, 13711, 4437
2003-11-10, 13711, 4437
2003-11-11, 13872, 4634
2003-11-13, 13872, 4634
2003-11-14, 13872, 4634
2003-11-17, 13872, 4634
2003-11-18, 13850, 4682
2003-11-19, 13954, 4508
2003-11-20, 14086, 4555
2003-11-21, 14226, 4565
2003-11-22, 14231, 4565
2003-11-24, 14170, 4620
2003-11-25, 14170, 4620
2003-11-26, 14120, 4624
2003-11-27, 14543, 4673
2003-11-28, 14546, 4673
2003-11-29, 14546, 4673
2003-11-30, 15350, 4695
2003-12-01, 15350, 4695
2003-12-02, 15350, 4695
2003-12-03, 15350, 4695
2003-12-04, 15350, 4695
2003-12-08, 15350, 4695
2003-12-09, 15352, 4695
2003-12-10, 15352, 4695
2003-12-11, 15352, 4695
2003-12-12, 15352, 4695
2003-12-13, 15352, 4695
2003-12-15, 15474, 4695
2003-12-16, 16321, 4701
2003-12-17, 17469, 4878
2003-12-18, 17793, 5121
2003-12-19, 19327, 5002
2003-12-20, 19795, 5058
2003-12-21, 20048, 5121
